id,time,type,prev_id,Engagement_index,Hop,Non_follower
66558985,49561,like,66558985,0,1,0
994035637,49634,like,994035637,0,1,0
1039100775853694976,49634,like,1039100775853694976,0,2,0
958968487359127554,49634,like,958968487359127554,0,1,0
766470452772478976,49634,like,766470452772478976,0,0,1
3422930969_1,49634,like,3422930969,1,1,0
2593140385,49634,like,2593140385,0,1,0
908066999007272960,49634,like,908066999007272960,0,1,0
851843384,49634,like,851843384,0,0,1
1461880833846001666,49634,like,1461880833846001666,0,1,0
1573629241924755456,49634,like,1573629241924755456,0,1,0
869588124581670912,49706,like,869588124581670912,0,2,0
927452909515821056,49706,like,927452909515821056,0,1,0
1054651616824119298,49706,like,1054651616824119298,0,3,0
1290405810833686529,49706,like,1290405810833686529,0,0,1
1106693865715761152,49706,like,1106693865715761152,0,2,0
981227530500956160,49706,like,981227530500956160,0,0,1
1483264286,49706,like,1483264286,0,1,0
876355631153807361,49706,like,876355631153807361,0,1,0
4313079599,49778,like,4313079599,0,1,0
3315422627,49778,like,3315422627,0,2,0
3178233358,49778,like,3178233358,0,2,0
993890518550577159,49778,like,993890518550577159,0,3,0
1096915700604522498,49778,like,1096915700604522498,0,2,0
1545555379890839553,49778,like,1545555379890839553,0,2,0
2374171796,49778,like,2374171796,0,2,0
1356532310410149890,49778,like,1356532310410149890,0,2,0
701770428512133120_1,49778,like,701770428512133120,1,1,0
47225583,49778,like,47225583,0,0,1
951778306730360832,49778,like,951778306730360832,0,1,0
2739295349,49778,like,2739295349,0,1,0
1486385928457363457,49778,like,1486385928457363457,0,2,0
834453466261110784_1,49778,like,834453466261110784,1,1,0
1459571574,49850,like,1459571574,0,3,0
1924768706_1,49850,like,1924768706,1,1,0
962755052053188608,49850,like,962755052053188608,0,2,0
1260496490,49850,like,1260496490,0,3,0
3300319155,49850,like,3300319155,0,2,0
159740520_1,49850,like,159740520,1,1,0
4265219664,49850,like,4265219664,0,2,0
1514403582338023429,49850,like,1514403582338023429,0,2,0
1360524164323500032,49850,like,1360524164323500032,0,2,0
974034110820761601,49850,like,974034110820761601,0,1,0
1476354682679296008,49850,like,1476354682679296008,0,2,0
2644610366,49850,like,2644610366,0,2,0
1580415157804613634,49850,like,1580415157804613634,0,1,0
1301731195206750208,49850,like,1301731195206750208,0,2,0
922192065357852677_1,49850,like,922192065357852677,1,2,0
1596806797368631297_1,49922,like,1596806797368631297,1,1,0
1301934426004299781,49922,like,1301934426004299781,0,0,1
4375336032,49922,like,4375336032,0,2,0
754758524614225920,49922,like,754758524614225920,0,1,0
959952218408529920,49922,like,959952218408529920,0,1,0
784652938497130501,49922,like,784652938497130501,0,2,0
1396038798_1,49922,like,1396038798,1,1,0
1328396986773598208_1,49922,like,1328396986773598208,1,1,0
2791144316,49922,like,2791144316,0,2,0
1350797869838704644,49922,like,1350797869838704644,0,2,0
1559894684314517508,49922,like,1559894684314517508,0,1,0
262692729,49922,like,262692729,0,1,0
960256450122649602,49922,like,960256450122649602,0,3,0
949701657398599680,49922,like,949701657398599680,0,0,1
1624887582,49994,like,1624887582,0,2,0
1015721211408642049,49994,like,1015721211408642049,0,2,0
1960071085,49994,like,1960071085,0,0,1
1230776704731357185,49994,like,1230776704731357185,0,1,0
1523342607086194695,49994,like,1523342607086194695,0,3,0
2475750798,50067,like,2475750798,0,1,0
555614315_1,50067,like,555614315,1,1,0
340728289,50067,like,340728289,0,1,0
92896124,50067,like,92896124,0,2,0
1179690861581492224,50067,like,1179690861581492224,0,2,0
1015415711555096576,50067,like,1015415711555096576,0,1,0
793075201508577282,50067,like,793075201508577282,0,2,0
413082629_1,50067,like,413082629,1,2,0
