Source,Target,follower
1074054830434467842,1357341829268578304,1
1074054830434467842,990824025889820673,1
1074054830434467842,1453550783560142848,1
1011796909709774850,1390388083388977156,1
1011796909709774850,152454395,1
459746246,829861008181182465,1
2722776014,2227363923,1
2722776014,1056886264207720448,1
2722776014,1339723277078556673,1
1592703393058983936,1576405626225401856,1
1592703393058983936,1570431527657283589,1
1592703393058983936,1512986688032759808,1
1592703393058983936,1591023470997131264,1
1592703393058983936,1551855818857148416,1
1592703393058983936,1591023470997131264,1
1592703393058983936,1390388083388977156,1
1592703393058983936,1566037459640520706,1
1184508107503915008,1176966795317714947,1
1184508107503915008,1076119023438434304,1
1472922105834459137,1247248618727317513,1
2955178516,1470254915570188288,1
2955178516,265555159,1
1489752383391363073,1551855818857148416,1
2258155987,1551855818857148416,1
1249287950329839617,1301488728070860802,1
1249287950329839617,1301488728070860802,1
1249287950329839617,1301488728070860802,1
1249287950329839617,1301488728070860802,1
1306597194561019910,2227363923,1
1306597194561019910,1536004983883431936,1
1306597194561019910,1022944129494528006,1
1306597194561019910,1292559700651843586,1
1306597194561019910,1226195797307535361,1
1306597194561019910,1123041104834834433,1
1306597194561019910,1307069937073168384,1
1306597194561019910,1446918369727467534,1
1306597194561019910,1166931615240663040,1
1306597194561019910,205425865,1
1306597194561019910,1302153897243553792,1
1306597194561019910,1005783911002202112,1
1306597194561019910,966394228480925696,1
1306597194561019910,895698677372772353,1
1306597194561019910,1271070955255861248,1
1306597194561019910,1439613882226692098,1
1306597194561019910,1413266227649187849,1
1306597194561019910,1455711046841380873,1
1306597194561019910,1477437196894310402,1
1306597194561019910,931304775714557952,1
1306597194561019910,1412979412153339904,1
1306597194561019910,3156860298,1
1306597194561019910,1046284326118121472,1
1306597194561019910,1392884702931992583,1
1306597194561019910,1404681128565485570,1
1306597194561019910,1382511216422191109,1
1306597194561019910,1473753129908908035,1
1306597194561019910,1056717222184448006,1
1306597194561019910,1348068878652473344,1
1306597194561019910,1457406969933967367,1
2227363923,1536004983883431936,1
2227363923,1267672470481494017,1
2227363923,1613594907184070666,1
2227363923,4647768798,1
2227363923,1446918369727467534,1
2227363923,1078887394860969985,1
2227363923,205425865,1
2227363923,1302153897243553792,1
2227363923,1258196231735607299,1
2227363923,915492250271965185,1
2227363923,1439613882226692098,1
2227363923,1455711046841380873,1
2227363923,756576476653359104,1
2227363923,990824025889820673,1
2227363923,1488064526255853576,1
2227363923,938611311046545408,1
2227363923,983169617374965760,1
2227363923,1157622463661928448,1
2227363923,1078887394860969985,1
2227363923,2290379322,1
2227363923,1392884702931992583,1
2227363923,1383901675660869637,1
2227363923,1576375089683210240,1
2227363923,1301488728070860802,1
2227363923,1301488728070860802,1
2227363923,1301488728070860802,1
2227363923,1301488728070860802,1
2227363923,1317721729762914304,1
1410399999742124032,1613594907184070666,1
1410399999742124032,1171303601047662592,1
1410399999742124032,1171303601047662592,1
1410399999742124032,1565384979693150208,1
1410399999742124032,1455711046841380873,1
1410399999742124032,1505244543456796676,1
1410399999742124032,1566037459640520706,1
1525486302019440642,1613594907184070666,1
983469058187300865,1275564997943480322,1
1536004983883431936,1470254915570188288,1
1536004983883431936,1546322331341144065,1
1536004983883431936,754247993163939840,1
1536004983883431936,1331140697349648384,1
1536004983883431936,1586364988058320896,1
1536004983883431936,1425678233723449345,1
1536004983883431936,1300900272496144386,1
1536004983883431936,1519298128096104448,1
1536004983883431936,1613594907184070666,1
1536004983883431936,1324740006846423040,1
1536004983883431936,778774483087745024,1
1536004983883431936,1166931615240663040,1
1536004983883431936,1078887394860969985,1
1536004983883431936,1129149544137187329,1
1536004983883431936,1302153897243553792,1
1536004983883431936,1258196231735607299,1
1536004983883431936,1589288461311397889,1
1536004983883431936,1589288461311397889,1
1536004983883431936,1004919544832544769,1
1536004983883431936,1439613882226692098,1
1536004983883431936,1569790897189187584,1
1536004983883431936,1570431527657283589,1
1536004983883431936,1455711046841380873,1
1536004983883431936,1588979702298984448,1
1536004983883431936,1381208533153239046,1
1536004983883431936,1510811430194495490,1
1536004983883431936,1573642700414484482,1
1536004983883431936,1573376703396823040,1
1536004983883431936,1577189965313761280,1
1536004983883431936,1159054394157150209,1
1536004983883431936,2168376014,1
1536004983883431936,1421311459254960129,1
1536004983883431936,3156860298,1
1536004983883431936,1567735776149897216,1
1536004983883431936,1314298497131147265,1
1536004983883431936,1521818538473840643,1
1536004983883431936,938611311046545408,1
1536004983883431936,724218874955182080,1
1536004983883431936,1078887394860969985,1
1536004983883431936,1429460569128591367,1
1536004983883431936,1227799095298805760,1
1536004983883431936,1479938388778180609,1
